[2021.11.18 10:12:32.003] RELAY_BOX was created
[2021.11.18 10:13:00.895] [RELAY_BOX] opening CAN : COM9
[2021.11.18 10:13:07.834] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F0 
[2021.11.18 10:13:08.010] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F1 
[2021.11.18 10:13:08.216] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F2 
[2021.11.18 10:13:08.414] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F3 
[2021.11.18 10:13:08.612] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F4 
[2021.11.18 10:13:08.816] [Recv] CANID: 0x14180201, 09 22 00 01 01 01 07 D0 
[2021.11.18 10:13:08.828] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:08.839] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F5 
[2021.11.18 10:13:09.013] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F6 
[2021.11.18 10:13:09.220] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F7 
[2021.11.18 10:13:09.415] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F8 
[2021.11.18 10:13:09.614] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 F9 
[2021.11.18 10:13:09.813] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:09.825] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:09.836] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FA 
[2021.11.18 10:13:10.018] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FB 
[2021.11.18 10:13:10.221] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FC 
[2021.11.18 10:13:10.414] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FD 
[2021.11.18 10:13:10.622] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FE 
[2021.11.18 10:13:10.817] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:10.828] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:10.839] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FF 
[2021.11.18 10:13:11.015] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 00 
[2021.11.18 10:13:11.222] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 01 
[2021.11.18 10:13:11.416] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 02 
[2021.11.18 10:13:11.611] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 03 
[2021.11.18 10:13:11.816] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.18 10:13:11.827] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:11.838] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 04 
[2021.11.18 10:13:12.021] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 05 
[2021.11.18 10:13:12.212] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 06 
[2021.11.18 10:13:12.419] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 07 
[2021.11.18 10:13:12.618] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 08 
[2021.11.18 10:13:12.814] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:12.825] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:12.836] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 09 
[2021.11.18 10:13:13.018] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0A 
[2021.11.18 10:13:13.213] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0B 
[2021.11.18 10:13:13.417] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0C 
[2021.11.18 10:13:13.620] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0D 
[2021.11.18 10:13:13.817] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.18 10:13:13.828] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:13.839] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0E 
[2021.11.18 10:13:14.021] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 0F 
[2021.11.18 10:13:14.214] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 10 
[2021.11.18 10:13:14.420] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 11 
[2021.11.18 10:13:14.614] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 12 
[2021.11.18 10:13:14.818] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.18 10:13:14.829] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:14.840] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 13 
[2021.11.18 10:13:15.014] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 14 
[2021.11.18 10:13:15.220] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 15 
[2021.11.18 10:13:15.416] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 16 
[2021.11.18 10:13:15.613] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 17 
[2021.11.18 10:13:15.818] [Recv] CANID: 0x14180201, 10 22 00 01 01 01 07 D0 
[2021.11.18 10:13:15.829] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:15.840] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 18 
[2021.11.18 10:13:16.012] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 19 
[2021.11.18 10:13:16.219] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1A 
[2021.11.18 10:13:16.415] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1B 
[2021.11.18 10:13:16.612] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1C 
[2021.11.18 10:13:16.816] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:16.827] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:16.838] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1D 
[2021.11.18 10:13:17.022] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1E 
[2021.11.18 10:13:17.217] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 1F 
[2021.11.18 10:13:17.422] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 20 
[2021.11.18 10:13:17.619] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 21 
[2021.11.18 10:13:17.824] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:17.835] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:17.846] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 22 
[2021.11.18 10:13:18.017] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 23 
[2021.11.18 10:13:18.224] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 24 
[2021.11.18 10:13:18.421] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 25 
[2021.11.18 10:13:18.625] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 26 
[2021.11.18 10:13:18.817] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.18 10:13:18.828] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:18.838] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 27 
[2021.11.18 10:13:19.021] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 28 
[2021.11.18 10:13:19.226] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 29 
[2021.11.18 10:13:19.418] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2A 
[2021.11.18 10:13:19.623] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2B 
[2021.11.18 10:13:19.819] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:19.830] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:19.841] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2C 
[2021.11.18 10:13:20.024] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2D 
[2021.11.18 10:13:20.219] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2E 
[2021.11.18 10:13:20.426] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 2F 
[2021.11.18 10:13:20.620] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 30 
[2021.11.18 10:13:20.825] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.18 10:13:20.836] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:20.847] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 31 
[2021.11.18 10:13:21.020] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 32 
