[2021.11.16 10:10:08.924] RELAY_BOX was created
[2021.11.16 10:10:38.029] [RELAY_BOX] opening CAN : COM9
[2021.11.16 10:10:38.148] [RELAY_BOX] OpenCAN Success
[2021.11.16 10:11:05.195] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 83 
[2021.11.16 10:11:05.390] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 84 
[2021.11.16 10:11:05.597] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 85 
[2021.11.16 10:11:05.792] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.16 10:11:05.804] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:05.815] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 86 
[2021.11.16 10:11:05.991] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 87 
[2021.11.16 10:11:06.194] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 88 
[2021.11.16 10:11:06.398] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 89 
[2021.11.16 10:11:06.792] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.16 10:11:06.803] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:06.814] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 8B 
[2021.11.16 10:11:06.990] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 8C 
[2021.11.16 10:11:07.195] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 8D 
[2021.11.16 10:11:07.398] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 8E 
[2021.11.16 10:11:07.597] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 8F 
[2021.11.16 10:11:07.795] [Recv] CANID: 0x14180201, 02 09 00 01 01 01 07 D0 
[2021.11.16 10:11:07.806] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:07.817] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 90 
[2021.11.16 10:11:08.001] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 91 
[2021.11.16 10:11:08.198] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 92 
[2021.11.16 10:11:08.402] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 93 
[2021.11.16 10:11:08.598] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 94 
[2021.11.16 10:11:08.804] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.16 10:11:08.816] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:08.827] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 95 
[2021.11.16 10:11:09.000] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 96 
[2021.11.16 10:11:09.198] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 97 
[2021.11.16 10:11:09.395] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 98 
[2021.11.16 10:11:09.603] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 99 
[2021.11.16 10:11:09.797] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.16 10:11:09.808] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:09.819] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9A 
[2021.11.16 10:11:09.994] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9B 
[2021.11.16 10:11:10.197] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9C 
[2021.11.16 10:11:10.402] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9D 
[2021.11.16 10:11:10.599] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9E 
[2021.11.16 10:11:10.802] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.16 10:11:10.813] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:10.824] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 9F 
[2021.11.16 10:11:10.999] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A0 
[2021.11.16 10:11:11.194] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A1 
[2021.11.16 10:11:11.397] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A2 
[2021.11.16 10:11:11.595] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A3 
[2021.11.16 10:11:11.800] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.16 10:11:11.811] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:11.822] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A4 
[2021.11.16 10:11:11.996] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A5 
[2021.11.16 10:11:12.203] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A6 
[2021.11.16 10:11:12.400] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A7 
[2021.11.16 10:11:12.595] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A8 
[2021.11.16 10:11:12.799] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.16 10:11:12.811] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:12.822] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 A9 
[2021.11.16 10:11:12.998] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AA 
[2021.11.16 10:11:13.196] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AB 
[2021.11.16 10:11:13.401] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AC 
[2021.11.16 10:11:13.596] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AD 
[2021.11.16 10:11:13.794] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.16 10:11:13.805] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:13.816] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AE 
[2021.11.16 10:11:14.003] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AF 
[2021.11.16 10:11:14.199] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B0 
[2021.11.16 10:11:14.393] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B1 
[2021.11.16 10:11:14.598] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B2 
[2021.11.16 10:11:14.802] [Recv] CANID: 0x14180201, 09 09 00 01 01 01 07 D0 
[2021.11.16 10:11:14.813] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:11:14.824] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B3 
[2021.11.16 10:11:14.995] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B4 
[2021.11.16 10:11:15.202] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B5 
[2021.11.16 10:11:15.398] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B6 
[2021.11.16 10:11:15.606] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B7 
[2021.11.16 10:11:15.803] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
